anno,dt_ince,comune,sup_tot_ha,geom
2017,2017-06-17,2017/CA/4103,0.3375,POINT(8.901261784221425 39.50385426797332)
2017,2017-06-18,2017/CA/4107,5.0143,POINT(9.073529205044768 39.65645208091524)
2017,2017-06-18,2017/CA/4117,0.3995,POINT(8.939487461631394 39.39105614623706)
2017,2017-06-18,2017/CA/4118,2.2289,POINT(8.97191592336968 39.62184878908501)
2017,2017-06-19,2017/CA/4130,0.5578,POINT(8.95427816714143 39.68988288035162)
2017,2017-06-19,2017/CA/4134,3.2688,POINT(8.898454896478198 39.55427298227296)
2017,2017-06-19,2017/CA/4135,1.2776,POINT(8.961143043846352 39.37718495896054)
2017,2017-06-19,2017/CA/4136,9.0500,POINT(8.887198651245903 39.456094604472604)
2017,2017-06-20,2017/CA/4148,2.9456,POINT(8.979746022240235 39.662246082102236)
2017,2017-09-04,2017/CA/5279,1.2191,POINT(8.886603481148342 39.559062618270666)
2017,2017-06-19,2017/CA/4137,5.6761,POINT(8.985643962106241 39.64853049899845)
2017,2017-06-20,2017/CA/4146,1.5701,POINT(8.907333623142396 39.54378895340536)
2017,2017-06-24,2017/CA/4222,1.1404,POINT(9.304879079848742 39.264309431141534)
2017,2017-06-21,2017/CA/4153,183.7478,POINT(8.992581306405196 39.625081020728835)
2017,2017-06-21,2017/CA/4154,0.1124,POINT(8.746286787017942 38.97277398431691)
2017,2017-06-21,2017/CA/4159,0.4173,POINT(9.15908299195208 39.21700227198314)
2017,2017-06-21,2017/CA/4160,0.3272,POINT(8.959707490053813 38.98882988963717)
2017,2017-09-04,2017/CA/5280,0.7328,POINT(8.924557977705431 39.526034636600926)
2017,2017-06-21,2017/CA/4162,0.8505,POINT(9.072558885723414 39.67973065805078)
2017,2017-06-22,2017/CA/4172,0.3907,POINT(9.126186167910134 39.498163673637976)
2017,2017-06-22,2017/CA/4175,3.2227,POINT(8.92899918570776 39.459529966277614)
2017,2017-06-22,2017/CA/4177,31.0585,POINT(9.10411469822414 39.514772079011834)
2017,2017-06-22,2017/CA/4178,0.1708,POINT(8.932330498417091 39.307436424178725)
2017,2017-06-24,2017/CA/4223,10.0095,POINT(9.004634392308933 39.38445429802634)
2017,2017-06-24,2017/CA/4227,10.2023,POINT(9.084053553344003 39.266386252209)
2017,2017-06-22,2017/CA/4179,1.4948,POINT(9.038315214788835 39.388468446755134)
2017,2017-06-22,2017/CA/4186,0.3098,POINT(8.956643300099872 39.42429583960147)
2017,2017-06-23,2017/CA/4187,19.1684,POINT(8.91599866245236 39.34517688711203)
2017,2017-09-04,2017/CA/5281,2.1862,POINT(8.89779717560011 39.52045736711099)
2017,2017-06-23,2017/CA/4193,0.4873,POINT(9.05731867501001 39.386069303527606)
2017,2017-06-23,2017/CA/4196,0.7400,POINT(8.933165133316118 39.56277581292374)
2017,2017-06-23,2017/CA/4199,0.6256,POINT(9.120580533665601 39.54947241989377)
2017,2017-06-23,2017/CA/4200,14.9012,POINT(8.908303963496756 39.43197052981424)
2017,2017-06-24,2017/CA/4234,0.4409,POINT(8.990091722273238 39.70728131625074)
2017,2017-06-24,2017/CA/4235,9.5136,POINT(9.075846802357002 39.45739937862984)
2017,2017-06-23,2017/CA/4201,3.7677,POINT(8.970828524692369 39.620525209261544)
2017,2017-06-24,2017/CA/4236,0.6957,POINT(9.006731829971393 39.384885800775315)
2017,2017-06-27,2017/CA/4291,0.2689,POINT(8.995884303497165 39.640530543569405)
2017,2017-06-28,2017/CA/4303,6.5480,POINT(8.964422182485468 39.29947812062875)
2017,2017-06-28,2017/CA/4306,43.3040,POINT(8.993397421355233 39.67181252769705)
2017,2017-06-23,2017/CA/4205,0.7267,POINT(8.963692259574545 39.633807018168596)
2017,2017-06-24,2017/CA/4215,32.1528,POINT(8.733196892814798 39.578393913899355)
