Municipality,Fire_Frequency,Total_Burned_Area_HA,Avg_Area_Per_Fire,Primary_Land_Type,Risk_Level,Forecast_Notes
S'OLIVERA,1,104.07,104.07,8427.36064586,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
S.S. TRAVERSALE SARDA,1,4.33,4.33,31771.06735526,LOW,High seasonal risk in Summer.
BACALZOS,1,0.28,0.28,0,LOW,High seasonal risk in Summer.
S. SOFIA,1,0.50,0.50,5033.54816815,LOW,High seasonal risk in Summer.
N.GHE MULINEDDU,1,1.48,1.48,0,LOW,High seasonal risk in Summer.
MIRIAGHEDDU,1,1.04,1.04,0,LOW,High seasonal risk in Summer.
MURA PILOSU,1,6.76,6.76,0,LOW,High seasonal risk in Summer.
SUELZOLU,1,1.37,1.37,0,LOW,High seasonal risk in Summer.
C. UNGRONI,1,14.66,14.66,0,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
TRIGANINO,1,2.97,2.97,0,LOW,High seasonal risk in Summer.
MONTRABARA,1,0.14,0.14,7778659,LOW,High seasonal risk in Summer.
CAMPOS VALZOS,1,8.77,8.77,87690.5,LOW,High seasonal risk in Summer.
CUMITASANNA,1,0.19,0.19,1881.17,LOW,High seasonal risk in Summer.
MONTIGGIU TUNDU,1,0.40,0.40,0,LOW,High seasonal risk in Summer.
P.TA ANDRIOTTU,1,0.19,0.19,0,LOW,High seasonal risk in Summer.
S. STEFANO,1,36.72,36.72,367239,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
C.LO GAMBEDDA,1,0.34,0.34,3370.66,LOW,High seasonal risk in Summer.
S'ABBA 'E S'AINO,1,2.12,2.12,0,LOW,High seasonal risk in Summer.
BATTIGADEDDU,1,0.39,0.39,0,LOW,High seasonal risk in Summer.
R. TRANTALE,1,0.11,0.11,0,LOW,High seasonal risk in Summer.
ORETTA,1,1.40,1.40,14017.5,LOW,High seasonal risk in Summer.
BADU DE FINE,1,17.44,17.44,174435,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
MONTE LUGHENTE,1,0.29,0.29,2889.2,LOW,High seasonal risk in Summer.
STAZ.E DI ENAS,1,0.16,0.16,0,LOW,High seasonal risk in Summer.
LA PADULE,1,0.31,0.31,0,LOW,High seasonal risk in Summer.
S. VITTORE,1,0.46,0.46,4594.73,LOW,High seasonal risk in Summer.
P.TA LU SCATRUSCIU,1,1.81,1.81,2872,LOW,High seasonal risk in Summer.
P.TA LU CARRAGGIAGGIU,1,3.86,3.86,29937.7,LOW,High seasonal risk in Summer.
ZAPPALLI MINORE,1,7.45,7.45,68188.5,LOW,High seasonal risk in Summer.
LI ACCHI,1,2.72,2.72,17557.4,LOW,High seasonal risk in Summer.
LI CUNCHIGGHIOLI,1,2.72,2.72,22020.4,LOW,High seasonal risk in Summer.
MONTE S. BARBARA,1,17.21,17.21,43092,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
ST.ZO L'AGNULU,1,30.39,30.39,139946,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
P.TA MICALE ALBANA,1,1.85,1.85,8098.5,LOW,High seasonal risk in Summer.
