Municipality,Fire_Frequency,Total_Burned_Area_HA,Avg_Area_Per_Fire,Primary_Land_Type,Risk_Level,Forecast_Notes
BAU SA CONCA,1,19.67,19.67,196736,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
C. FODDI,1,2.17,2.17,21724.4,LOW,High seasonal risk in Summer.
BR.CU ABIS,1,0.19,0.19,1910.69,LOW,High seasonal risk in Summer.
TERRA INTINI,1,1.44,1.44,14372.8,LOW,High seasonal risk in Summer.
CORTE SINNADROXIU,1,1.15,1.15,11467.3,LOW,High seasonal risk in Summer.
MITZA SU TRUNCU,1,0.80,0.80,8043.34,LOW,High seasonal risk in Summer.
SA NARBEDDERA,1,8.08,8.08,80821.5,LOW,High seasonal risk in Summer.
PRANU SPOLLA CAMISA,1,1.35,1.35,13515.5,LOW,High seasonal risk in Summer.
S. ANTIOCO,1,10.94,10.94,109447,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
SU PRANU SU CANONIGU,1,41.12,41.12,411185,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
ZIPPIREDDU,1,22.41,22.41,224132,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
BADDOI,1,0.55,0.55,5507.1,LOW,High seasonal risk in Summer.
BR.CU 'E FRUCCAS,1,1.40,1.40,14005.8,LOW,High seasonal risk in Summer.
STAINETTU,1,4.73,4.73,47283.6,LOW,High seasonal risk in Summer.
R. DE S'ACQUA BIANCA,1,2.28,2.28,22815,LOW,High seasonal risk in Summer.
S.S. 131 E 197,1,0.51,0.51,5131.25,LOW,High seasonal risk in Summer.
CUC.RU PERDOSU,1,3.64,3.64,36414.1,LOW,High seasonal risk in Summer.
SU CARRAXIU,1,14.55,14.55,145530,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
PAULI ANTONI,1,15.19,15.19,151937,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
CORRALIS,1,1.71,1.71,17053.7,LOW,High seasonal risk in Summer.
TANCA GARAU,1,0.84,0.84,8440.98,LOW,High seasonal risk in Summer.
C. PILLITU,1,3.41,3.41,34054.4,LOW,High seasonal risk in Summer.
BENATZUS,1,3.33,3.33,33346.4,LOW,High seasonal risk in Summer.
TRUNCU IS FOLLUS,1,10.91,10.91,109115,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
PISCINA SU FENU,1,4.27,4.27,42667.8,LOW,High seasonal risk in Summer.
CONGIAU E PRANU,1,1.03,1.03,10316.4,LOW,High seasonal risk in Summer.
LACANA DE BIDAZZONE,1,5.68,5.68,56781.6,LOW,High seasonal risk in Summer.
SU PRANU DE ASSEMINI,1,40.00,40.00,399963,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
IDROV.RA VASCO IMERONI,1,1.80,1.80,18035.5,LOW,High seasonal risk in Summer.
S. S. 131 E 197,1,0.21,0.21,2085.19,LOW,High seasonal risk in Summer.
SU MURDEGU,1,3.77,3.77,37689,LOW,High seasonal risk in Summer.
PORCILIS,1,0.29,0.29,2854.67,LOW,High seasonal risk in Summer.
GUARDIA SICCADA,1,4.10,4.10,40994.9,LOW,High seasonal risk in Summer.
S'ISULA,1,0.16,0.16,1645.7,LOW,High seasonal risk in Summer.
R. S. M.A MADDALENA,1,1.36,1.36,13585.9,LOW,High seasonal risk in Summer.
SARGIDDA SU PRANU,1,1.04,1.04,10435.8,LOW,High seasonal risk in Summer.
SANTU BENITTU,1,0.44,0.44,4366.03,LOW,High seasonal risk in Summer.
N.GHE CUMBIDE PINNA,1,24.10,24.10,240992,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
N.GHE SU AINGIU,1,109.67,109.67,1096686,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
SERRA PAULI MANNU,1,5.65,5.65,56512,LOW,High seasonal risk in Summer.
COSTA MOLINO,1,0.72,0.72,7183.28,LOW,High seasonal risk in Summer.
SEBERADROXIU,1,8.58,8.58,85780.1,LOW,High seasonal risk in Summer.
MASONI ANNIS,1,0.18,0.18,1782.3,LOW,High seasonal risk in Summer.
SERRA PAULI BOIS,1,0.94,0.94,9351.98,LOW,High seasonal risk in Summer.
CUCCURU ARBANTE,1,1.98,1.98,0,LOW,High seasonal risk in Summer.
IS CORONGIUS,1,12.59,12.59,125854,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
CORTI DE FORRU,1,61.13,61.13,611342,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
PRANU SE ACQUA SANTA,1,0.29,0.29,0,LOW,High seasonal risk in Summer.
S.S. 131,1,0.66,0.66,0,LOW,High seasonal risk in Summer.
PRANU USSORGIA,1,12.79,12.79,127939,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
CRACCARGIU,1,17.63,17.63,176320,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
LACUNEDDA,1,76.71,76.71,767074,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
CONCA LOCI,1,0.25,0.25,0,LOW,High seasonal risk in Summer.
BACCU CABONI,1,6.99,6.99,69862.2,LOW,High seasonal risk in Summer.
CORRUGAUS,1,0.64,0.64,6384.39,LOW,High seasonal risk in Summer.
BACCU SCOVA,1,2.81,2.81,28098.7,LOW,High seasonal risk in Summer.
MELIVADA,1,16.91,16.91,169136,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
ISCA SA PINGIADA,1,1.48,1.48,14830,LOW,High seasonal risk in Summer.
C. COLLU,1,3.72,3.72,37243.3,LOW,High seasonal risk in Summer.
CROCCOLANTI,1,13.83,13.83,0,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
CANNIGA,1,48.24,48.24,482422,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
CLAROSU,1,69.51,69.51,695142,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
SU BOSCU,1,29.67,29.67,296670,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
C. LECCA,1,2.34,2.34,23379.6,LOW,High seasonal risk in Summer.
BIA SA CRUXITTA,1,5.82,5.82,58182,LOW,High seasonal risk in Summer.
PERDU LAI,1,4.17,4.17,41729.7,LOW,High seasonal risk in Summer.
FUNT.NA TALERIS,1,0.29,0.29,2898.34,LOW,High seasonal risk in Summer.
MOLIFA',1,1.37,1.37,0,LOW,High seasonal risk in Summer.
CORTE COPPIUS,1,2.00,2.00,19975.7,LOW,High seasonal risk in Summer.
S'ISCA,1,0.13,0.13,1262.94,LOW,High seasonal risk in Summer.
SU PERDAXIU,1,1.05,1.05,10455.2,LOW,High seasonal risk in Summer.
PIXIXEDDU,1,2.94,2.94,29403.2,LOW,High seasonal risk in Summer.
PESADA DON PEPPI,1,16.61,16.61,166112,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
CAN.LE BONIF.CA ACQUE ALTE,1,2.71,2.71,27144.5,LOW,High seasonal risk in Summer.
SU NURAXI,1,3.88,3.88,38846.3,LOW,High seasonal risk in Summer.
C. MANDAS,1,3.08,3.08,30765.5,LOW,High seasonal risk in Summer.
M. GUTTURU GIONIS,1,20.88,20.88,208819,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
CASE CAMPANA,1,3.29,3.29,32894.4,LOW,High seasonal risk in Summer.
PABARILE,1,0.20,0.20,561,LOW,High seasonal risk in Summer.
ORTU SA CANNA,1,3.80,3.80,37962.3,LOW,High seasonal risk in Summer.
CUC.RU SEBIS,1,0.21,0.21,2096.96,LOW,High seasonal risk in Summer.
CORTE CADDEUS,1,0.25,0.25,2472.91,LOW,High seasonal risk in Summer.
S'ARGIDDA,1,0.21,0.21,2103.73,LOW,High seasonal risk in Summer.
GENNALIU,1,4.92,4.92,49212.2,LOW,High seasonal risk in Summer.
BR.CU FRIAROSU,1,12.93,12.93,129269,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
AXIURRIDU,1,1.00,1.00,9984.18,LOW,High seasonal risk in Summer.
MONTI TREXENTA,1,1.46,1.46,14634.3,LOW,High seasonal risk in Summer.
NURACADA,1,0.57,0.57,5737.78,LOW,High seasonal risk in Summer.
FOSSO TUPPA XERBU,1,5.34,5.34,53371.3,LOW,High seasonal risk in Summer.
SA RODINA,1,0.65,0.65,6465.44,LOW,High seasonal risk in Summer.
PIANO PORCILIS,1,29.58,29.58,295798,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
MUNTRAXIU,1,3.00,3.00,29962.5,LOW,High seasonal risk in Summer.
S. TOMMASO,1,9.86,9.86,98620.2,LOW,High seasonal risk in Summer.
PAULI MANNA,1,7.71,7.71,77130,LOW,High seasonal risk in Summer.
FATT.A MANCOSU,1,11.88,11.88,118757,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
STROVINA,1,5.27,5.27,52695.7,LOW,High seasonal risk in Summer.
CAMPU CADDAXIUS,1,1.07,1.07,10737.5,LOW,High seasonal risk in Summer.
S'UNGRONI,1,6.07,6.07,60696.3,LOW,High seasonal risk in Summer.
N.GHE POZZO MAIORE,1,34.23,34.23,152120,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
N.GHE NURATTEDDU,1,0.57,0.57,5660.18,LOW,High seasonal risk in Summer.
CUC.RU S. SALVATORE,1,0.74,0.74,7377.51,LOW,High seasonal risk in Summer.
TIDOS,1,128.97,128.97,106769,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
SA GRUTTIXEDDA,1,2.56,2.56,25615,LOW,High seasonal risk in Summer.
RIU ABIS,1,0.65,0.65,6469.9,LOW,High seasonal risk in Summer.
PALAGAROSA,1,3.71,3.71,37052.4,LOW,High seasonal risk in Summer.
N.GHE BUSORO,1,0.46,0.46,0,LOW,High seasonal risk in Summer.
CORTI POLLINI,1,9.30,9.30,93032.4,LOW,High seasonal risk in Summer.
BR.CU S. LUCIA,1,0.65,0.65,6505.24,LOW,High seasonal risk in Summer.
GUTTURU PARDU,1,0.19,0.19,1943.32,LOW,High seasonal risk in Summer.
TURRUCAU,1,0.47,0.47,4692.43089352,LOW,High seasonal risk in Summer.
SA SCORISCINA,1,1.02,1.02,10229.8,LOW,High seasonal risk in Summer.
BACCU SUERGIU,1,13.55,13.55,135488,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
SU MEDAU DE VOLANTINO,1,1.16,1.16,11600.8,LOW,High seasonal risk in Summer.
N.GHE MANNU,1,0.25,0.25,2503.22,LOW,High seasonal risk in Summer.
M. NURAGONE,1,1.40,1.40,0,LOW,High seasonal risk in Summer.
GIDILI ARRANAS,1,1.97,1.97,19743.7,LOW,High seasonal risk in Summer.
N.GHE CONCA SA CRESIA,1,2.05,2.05,20475.8,LOW,High seasonal risk in Summer.
M.ZA SA FRISSA,1,21.50,21.50,214971,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
BRUNCU SA GLORIA,1,146.41,146.41,1464119,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
MAURREDDA,1,43.55,43.55,435509,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
RIU DE SU LINARBU,1,9.88,9.88,98843.6,LOW,High seasonal risk in Summer.
BENALE MURGIA,1,0.28,0.28,707,LOW,High seasonal risk in Summer.
IS LINUS,1,3.65,3.65,36453.6,LOW,High seasonal risk in Summer.
SU OCCIDROXIU,1,0.16,0.16,1626.08,LOW,High seasonal risk in Summer.
MAUSINU,1,52.36,52.36,523563,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
BOI MURRU,1,0.13,0.13,1340.04,LOW,High seasonal risk in Summer.
IS ALINUS,1,0.20,0.20,1998.14,LOW,High seasonal risk in Summer.
CUC.RU SA UGA,1,2.20,2.20,22038.9,LOW,High seasonal risk in Summer.
CUC.RU DI CRONTA,1,0.41,0.41,4135.28,LOW,High seasonal risk in Summer.
CAMP GREGAS,1,0.16,0.16,1614.38,LOW,High seasonal risk in Summer.
GORA DE SU PRANU,1,1.49,1.49,14947,LOW,High seasonal risk in Summer.
M.ZA SU SESSINI,1,5.38,5.38,53815.5,LOW,High seasonal risk in Summer.
IS BEGAS,1,0.35,0.35,3456.07998658,LOW,High seasonal risk in Summer.
PAULI MANNU,1,10.36,10.36,103645,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
M. S. MAURO,1,16.95,16.95,169510.357729,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
ARRUINEDDA,1,3.15,3.15,31547.63316251,LOW,High seasonal risk in Summer.
BR.CU SU SENSU,1,1.73,1.73,17256.4,LOW,High seasonal risk in Summer.
POD.E SABOTINO,1,0.84,0.84,8366.23,LOW,High seasonal risk in Summer.
DUES NURAGHES,1,1.33,1.33,13303.8,LOW,High seasonal risk in Summer.
RIU S'OLLIONI,1,6.07,6.07,60728.2,LOW,High seasonal risk in Summer.
M. TOVEDDU,1,3.00,3.00,24990.7,LOW,High seasonal risk in Summer.
MARONZU,1,15.19,15.19,122687,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
CUCCU AU,1,23.69,23.69,236867,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
CORONA ARRUBIA,1,0.71,0.71,7078.09,LOW,High seasonal risk in Summer.
BIA PISCINA SA MURTA,1,4.57,4.57,45680.9,LOW,High seasonal risk in Summer.
PRANU SITZONIS,1,4.91,4.91,49138.28213532,LOW,High seasonal risk in Summer.
CANALE,1,7.53,7.53,0,LOW,High seasonal risk in Summer.
IS PILASTRUS,1,4.08,4.08,40784,LOW,High seasonal risk in Summer.
BENUNZAS,1,0.30,0.30,0,LOW,High seasonal risk in Summer.
CUC.RU M. EGHEDDA,1,2.20,2.20,4253.66,LOW,High seasonal risk in Summer.
M. CORONAS ARRUBIAS,1,4.08,4.08,12036.3,LOW,High seasonal risk in Summer.
CUCCURU CABONIS,1,107.76,107.76,959147,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
GENNA MENGA,1,0.62,0.62,1717.28,LOW,High seasonal risk in Summer.
FUNT.NA MURTAS,1,20.05,20.05,89641.3,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
S'IBA MANNA,1,1.85,1.85,18483.457901,LOW,High seasonal risk in Summer.
PALAS MINADROXIU,1,1.45,1.45,5077.12,LOW,High seasonal risk in Summer.
PITZU MUDULU,1,12.61,12.61,13774.7,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
M. SA FRISSA,1,8.50,8.50,29575.5,LOW,High seasonal risk in Summer.
TUPPA SA CACCALA,1,3.91,3.91,39101.709414,LOW,High seasonal risk in Summer.
IS TAPPIAS,1,3.35,3.35,33525.670864,LOW,High seasonal risk in Summer.
SA FRONTA,1,1.24,1.24,12371.693124,LOW,High seasonal risk in Summer.
MARRAPEI,1,0.38,0.38,3817.236101,LOW,High seasonal risk in Summer.
PRANU CASTEDDU,1,6.35,6.35,63460.423375,LOW,High seasonal risk in Summer.
PRANU OLLIRI,1,3.40,3.40,33952.310966,LOW,High seasonal risk in Summer.
MONTI ESSI,1,1.86,1.86,18578.786478,LOW,High seasonal risk in Summer.
SU LUARGIU,1,0.43,0.43,4269.26265,LOW,High seasonal risk in Summer.
GENNA MASSARGIA,1,1.19,1.19,11917.707295,LOW,High seasonal risk in Summer.
M.ZA NOXIAPPIDDU,1,0.69,0.69,6924.280447,LOW,High seasonal risk in Summer.
S'ARGIOLEDDA,1,0.29,0.29,2853.438636,LOW,High seasonal risk in Summer.
TERRAMAINI,1,0.31,0.31,3095.511365,LOW,High seasonal risk in Summer.
R. SADURU,1,0.76,0.76,7603.286182,LOW,High seasonal risk in Summer.
CAMPU CADDAXIU,1,0.69,0.69,6865.061989,LOW,High seasonal risk in Summer.
CORTE SU FENU,1,1.07,1.07,10734.392485,LOW,High seasonal risk in Summer.
BINGIA S'OMU,1,0.70,0.70,7025.117315,LOW,High seasonal risk in Summer.
TUVARIU,1,0.28,0.28,2753.014553,LOW,High seasonal risk in Summer.
C. MOTTAIOLA,1,101.71,101.71,455126,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
R. LITOMBROSO,1,0.34,0.34,0,LOW,High seasonal risk in Summer.
BAU SA TAULA,1,0.10,0.10,1003.118666,LOW,High seasonal risk in Summer.
M. CUCCUI,1,0.63,0.63,6298.013585,LOW,High seasonal risk in Summer.
ARREIXI,1,42.76,42.76,427603.66705,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
S.S. DI PALAU,1,0.64,0.64,0,LOW,High seasonal risk in Summer.
M.ZA SU DUTTURU,1,1.57,1.57,15702.19334,LOW,High seasonal risk in Summer.
CARDERAS,1,0.24,0.24,2384.047131,LOW,High seasonal risk in Summer.
GENNA DE SERRENTI,1,0.37,0.37,3702.020372,LOW,High seasonal risk in Summer.
C. CABRIOLU,1,0.11,0.11,1079.057709,LOW,High seasonal risk in Summer.
SEDDUS,1,0.50,0.50,4956.953804,LOW,High seasonal risk in Summer.
MILLAMARA,1,0.20,0.20,1958.269301,LOW,High seasonal risk in Summer.
R. FLUMINERA,1,0.83,0.83,8349.095443,LOW,High seasonal risk in Summer.
MITZA MODDITZI,1,5.15,5.15,51468.412296,LOW,High seasonal risk in Summer.
C. PIANO,1,4.07,4.07,40655.140682,LOW,High seasonal risk in Summer.
CORONGIU DE PERDU SECCI,1,17.09,17.09,63761,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
PALA S'OLLASTUS,1,0.60,0.60,6020.25129669,LOW,High seasonal risk in Summer.
GORA DON CIUCCIU,1,2.25,2.25,22484.24215506,LOW,High seasonal risk in Summer.
FUNT.NA DE GIOSSU,1,0.51,0.51,5060.40804657,LOW,High seasonal risk in Summer.
C. SIPPIU,1,2.63,2.63,26306.56942277,LOW,High seasonal risk in Summer.
RIU CIXI,1,0.47,0.47,4679.09544494,LOW,High seasonal risk in Summer.
NURAGHE CARRAXIU,1,3.02,3.02,30200.04621723,LOW,High seasonal risk in Summer.
S'ECCA SA TRAIA,1,6.73,6.73,67250.32157599,LOW,High seasonal risk in Summer.
M. SATURNO,1,3.42,3.42,34221.58424612,LOW,High seasonal risk in Summer.
CUCCURU MONTE FILIPPU,1,12.29,12.29,69561.91166916,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
GORA PITANU MAXIA,1,2.54,2.54,25380.4285123,LOW,High seasonal risk in Summer.
BACCU S'OMU,1,82.03,82.03,820347.85693837,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
BARRU,1,27.35,27.35,273537.99061316,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
PABISTERIS,1,0.55,0.55,5502.68625384,LOW,High seasonal risk in Summer.
TUPPECAVIA,1,12.57,12.57,125698.94805993,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
SA TUPPA,1,221.59,221.59,1489100,HIGH,High seasonal risk in Summer. Propensity for large-scale events detected.
SS. COSIMO E DAMIANO,1,1.20,1.20,11985.40159338,LOW,High seasonal risk in Summer.
BR.CU NUREGUMINI,1,3.65,3.65,36499.06891978,LOW,High seasonal risk in Summer.
COSTERA FUNTANA NOA,1,0.68,0.68,6835.4595244,LOW,High seasonal risk in Summer.
GUTTURU MITZA ORRU,1,10.95,10.95,109534.8409393,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
CASTANGIOLA,1,1.90,1.90,19029.79747066,LOW,High seasonal risk in Summer.
SORIGHINA,1,11.69,11.69,116926.21043482,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
RIU PAU,1,2.61,2.61,26052.11392495,LOW,High seasonal risk in Summer.
PAULI MELA,1,8.58,8.58,85752.1335007,LOW,High seasonal risk in Summer.
PALA MARGIANI,1,6.86,6.86,68602.3180521,LOW,High seasonal risk in Summer.
BR.CU SENZU,1,1.21,1.21,12138.75030654,LOW,High seasonal risk in Summer.
CRABILIS,1,8.39,8.39,83941.75444473,LOW,High seasonal risk in Summer.
IS ARENAS,1,2.63,2.63,26291.03511989,LOW,High seasonal risk in Summer.
SORIGINA,1,7.94,7.94,79416.60394871,LOW,High seasonal risk in Summer.
BACCU MUXIU,1,5.41,5.41,54134.82168636,LOW,High seasonal risk in Summer.
GUTTURU RUINA FIGUS,1,2.38,2.38,23773.31193297,LOW,High seasonal risk in Summer.
N.GHE ERRI,1,1.80,1.80,18049.00266019,LOW,High seasonal risk in Summer.
PLANU MANDAS,1,1.76,1.76,17627.51933485,LOW,High seasonal risk in Summer.
S.S. CENTRALE SARDA,1,2.48,2.48,24813.32867469,LOW,High seasonal risk in Summer.
S'ACQUA SALIA,1,1.54,1.54,15401.12429162,LOW,High seasonal risk in Summer.
SU PRANU EFIS,1,1.54,1.54,15352.06053217,LOW,High seasonal risk in Summer.
RIU CANALI,1,2.10,2.10,21044.94522526,LOW,High seasonal risk in Summer.
COSTERA SU NARBONI,1,0.48,0.48,4786.26455944,LOW,High seasonal risk in Summer.
CAN.LE S. LUXIRIU,1,1.83,1.83,18303.61000812,LOW,High seasonal risk in Summer.
RIU PERDOSU,1,0.40,0.40,4012.13569867,LOW,High seasonal risk in Summer.
SURCADA,1,1.57,1.57,15716.91771451,LOW,High seasonal risk in Summer.
FUNTANA GIORGI,1,0.21,0.21,2095.24700454,LOW,High seasonal risk in Summer.
MURA MAIORE,1,0.23,0.23,0,LOW,High seasonal risk in Summer.
PRANU SIARA,1,7.75,7.75,77545.49815293,LOW,High seasonal risk in Summer.
NARIUGUS,1,5.85,5.85,58507.74997363,LOW,High seasonal risk in Summer.
SA MARMIDDA,1,4.19,4.19,41902.65952766,LOW,High seasonal risk in Summer.
CUCCURU FIGU,1,1.02,1.02,10206.10156294,LOW,High seasonal risk in Summer.
PUBUXEDDU,1,2.30,2.30,22978.70015056,LOW,High seasonal risk in Summer.
IZZURREDDOS,1,3.98,3.98,0,LOW,High seasonal risk in Summer.
GENNIAU,1,0.20,0.20,2021.64626645,LOW,High seasonal risk in Summer.
BR.CU SA TUVARA,1,0.22,0.22,0,LOW,High seasonal risk in Summer.
MITZA COZZINA,1,0.27,0.27,2726.94386514,LOW,High seasonal risk in Summer.
SU PRANI 'E SA MOLA,1,0.45,0.45,0,LOW,High seasonal risk in Summer.
CUILI MURVONI,1,1.22,1.22,12154.3304867,LOW,High seasonal risk in Summer.
M.ZA BACCU MORRUS,1,46.73,46.73,336187,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
M. CARROGAS,1,137.22,137.22,507219.50446324,MEDIUM,High seasonal risk in Summer. Propensity for large-scale events detected.
C.SE S'UTTURU IS ARROLIS,1,15.56,15.56,117303,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
CORTI SU SECCI,1,6.45,6.45,64511.56481001,LOW,High seasonal risk in Summer.
M.ZA SU GRILLU,1,10.45,10.45,104523.55084622,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
C. CUCCA,1,0.30,0.30,3007.896901,LOW,High seasonal risk in Summer.
M.ZA SISINNI BOI,1,6.67,6.67,66684.90232619,LOW,High seasonal risk in Summer.
T. QUIRRA,1,22.07,22.07,220686.12880175,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
M.ZA FRIDDA SA COSTA,1,0.46,0.46,4623.93698012,LOW,High seasonal risk in Summer.
C. MULAS,1,2.21,2.21,22060.92679929,LOW,High seasonal risk in Summer.
M. ARESTI,1,49.87,49.87,239802.35718739,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
TACCU DE NURRI,1,10.28,10.28,0,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
SU BRACCU,1,0.26,0.26,2625,LOW,High seasonal risk in Summer.
RIU SA GRUTTA,1,0.15,0.15,0,LOW,High seasonal risk in Summer.
PARADISO,1,0.15,0.15,0,LOW,High seasonal risk in Summer.
AXINA DE FORRA,1,0.10,0.10,0,LOW,High seasonal risk in Summer.
PUNTA DELLE OCHE,1,0.64,0.64,0,LOW,High seasonal risk in Summer.
RIU DI GUDURI,1,0.42,0.42,4164.1,LOW,High seasonal risk in Summer.
SU PASSU DE BO CERBUS,1,1.91,1.91,0,LOW,High seasonal risk in Summer.
MARROCHEDU,1,0.68,0.68,6835.54,LOW,High seasonal risk in Summer.
CUCCURU DE MESU,1,0.62,0.62,6157.4,LOW,High seasonal risk in Summer.
GIANCHIN,1,0.36,0.36,3559.44,LOW,High seasonal risk in Summer.
ISCRA IS ANADES,1,2.60,2.60,11000.63770429,LOW,High seasonal risk in Summer.
GUARDIA SU MERTI,1,1.56,1.56,15593.7,LOW,High seasonal risk in Summer.
PISCINI,1,0.51,0.51,5078,LOW,High seasonal risk in Summer.
BR.CU CASIDARGIU,1,1.54,1.54,0,LOW,High seasonal risk in Summer.
RIU DE SONU,1,7.83,7.83,78308.4,LOW,High seasonal risk in Summer.
SERRA 'E TREMINIS,1,23.20,23.20,232038,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
SERRA MANDRA,1,0.96,0.96,0,LOW,High seasonal risk in Summer.
M. ARCEDDA,1,0.37,0.37,0,LOW,High seasonal risk in Summer.
SU MERTI,1,0.26,0.26,2626.49,LOW,High seasonal risk in Summer.
M. NASSETTA,1,0.64,0.64,6422.07,LOW,High seasonal risk in Summer.
C. FALCHI,1,0.31,0.31,3125.04,LOW,High seasonal risk in Summer.
S. GIUSEPPE,1,0.53,0.53,5288.87,LOW,High seasonal risk in Summer.
FLUMENTEPIDO,1,0.86,0.86,8643.8,LOW,High seasonal risk in Summer.
MATTIXEDDA,1,0.16,0.16,1580.48,LOW,High seasonal risk in Summer.
NURAXI FIGUS,1,0.95,0.95,9472.54,LOW,High seasonal risk in Summer.
PRANU DE IDDA,1,1.19,1.19,11944.04772547,LOW,High seasonal risk in Summer.
MASONI FRETTA,1,0.40,0.40,4036.63859532,LOW,High seasonal risk in Summer.
MITZA ARRAMMINI,1,1.98,1.98,19820.6,LOW,High seasonal risk in Summer.
S. LORENZO,1,0.64,0.64,6367.41,LOW,High seasonal risk in Summer.
CAST.O DELLA FAVA,1,2.09,2.09,20852.1,LOW,High seasonal risk in Summer.
BRUNCU PIROSU,1,1.71,1.71,17090.9,LOW,High seasonal risk in Summer.
SANTU XENTU,1,0.15,0.15,1542.65,LOW,High seasonal risk in Summer.
TERRESOLI,1,0.22,0.22,2207.96,LOW,High seasonal risk in Summer.
R. S. MILANO,1,1.35,1.35,13513.7,LOW,High seasonal risk in Summer.
IS TONEDDUS,1,0.41,0.41,4091.49,LOW,High seasonal risk in Summer.
MITZA SU FERRU,1,0.19,0.19,1918.6,LOW,High seasonal risk in Summer.
CANT.RA M. PERDOSU,1,8.69,8.69,86862.3,LOW,High seasonal risk in Summer.
S'ARRUARXIU,1,2.50,2.50,24992,LOW,High seasonal risk in Summer.
MEDAU PEDDIS,1,6.92,6.92,69159.4,LOW,High seasonal risk in Summer.
MIZZITEDDAS,1,0.14,0.14,1405.55,LOW,High seasonal risk in Summer.
TRUNCU DE IS TANAS,1,0.61,0.61,6059.4,LOW,High seasonal risk in Summer.
RIU MANNU,1,0.63,0.63,6300.11,LOW,High seasonal risk in Summer.
SEDDA UMBROSA,1,0.99,0.99,9917.05,LOW,High seasonal risk in Summer.
SERRA LURDAGU,1,0.30,0.30,3042.21,LOW,High seasonal risk in Summer.
BAU S'ARENA,1,16.24,16.24,162379,LOW,High seasonal risk in Summer. Propensity for large-scale events detected.
R. PALMAS,1,0.22,0.22,2223.17,LOW,High seasonal risk in Summer.
P.TA S'ARENA,1,0.49,0.49,0,LOW,High seasonal risk in Summer.
IS PEIS,1,0.57,0.57,5732.58,LOW,High seasonal risk in Summer.
IS FIASCUS,1,1.37,1.37,13712.6,LOW,High seasonal risk in Summer.
MITZOTUS,1,1.03,1.03,10326.4,LOW,High seasonal risk in Summer.
CANNAS,1,1.16,1.16,2351,LOW,High seasonal risk in Summer.
POD.E N. 1,1,0.63,0.63,6271.66,LOW,High seasonal risk in Summer.
